N,Best_Time_ms,Worst_Time_ms,Avg_Time_ms,Avg_Swaps,Avg_Comparisons,Avg_Passes,Theoretical_O_n2
1000,7.974000,23.936000,12.276850,254464.000000,499445.000000,989.000000,0.500000
2000,32.909000,42.926000,34.860450,1000218.000000,1998220.000000,1960.000000,2.000000
4000,130.584000,144.683000,134.892600,3968254.000000,7994514.000000,3916.000000,8.000000
8000,532.642000,554.515000,543.255150,15924115.000000,31986820.000000,7864.000000,32.000000
16000,2161.223000,2435.416000,2207.596200,64012224.000000,127951245.000000,15714.000000,128.000000
32000,8793.556000,10399.186000,9226.908850,255782466.000000,511931025.000000,31674.000000,512.000000
64000,37785.175000,42017.656000,39491.551100,1029011499.000000,2047956219.000000,63846.000000,2048.000000
128000,158639.955000,182883.059000,167477.073650,4111072298.000000,8191876315.000000,127654.000000,8192.000000
